chrom,start,end,name
chr1,118256807,118257099,blacklist_222
chr1,118278023,118279223,blacklist_223
chr1,118749107,118749361,blacklist_224
chr1,119981238,119986266,blacklist_225
chr1,120281131,120286178,blacklist_226
chr1,121073677,121074006,blacklist_227
chr1,122354667,122359746,blacklist_228
chr1,123316396,123321462,blacklist_229
chr1,124140670,124145727,blacklist_230
chr1,125864399,125869475,blacklist_231
chr1,127027509,127032555,blacklist_232
chr1,127491640,127497108,blacklist_233
chr1,128013050,128013531,blacklist_234
chr1,128043072,128048113,blacklist_235
chr1,128062686,128069286,blacklist_236
chr1,130503783,130508832,blacklist_237
chr1,131112911,131113311,blacklist_238
chr1,131226471,131227059,blacklist_239
chr1,131382219,131382501,blacklist_240
chr1,131571321,131576533,blacklist_241
chr1,132781989,132787033,blacklist_242
chr1,132790623,132791623,blacklist_243
chr1,132790975,132791358,chrM_4
chr1,133113872,133114135,blacklist_244
chr1,133203071,133208116,blacklist_245
chr1,133347388,133347972,blacklist_246
chr1,133366400,133367051,blacklist_247
chr1,133592022,133598580,blacklist_248
chr1,133620110,133620458,blacklist_249
chr1,134220944,134221204,blacklist_250
chr1,134303472,134303600,blacklist_251
chr1,134455271,134460308,blacklist_252
chr1,134704684,134705035,blacklist_253
chr1,134733600,134738744,blacklist_254
chr1,135170102,135175130,blacklist_255
chr1,135227873,135232932,blacklist_256
chr1,135364441,135364747,blacklist_257
chr1,135704614,135709649,blacklist_258
chr1,136362390,136367464,blacklist_259
chr1,136460891,136461112,blacklist_260
chr1,136485189,136485634,blacklist_261
chr1,136572643,136572886,blacklist_262
chr1,136842566,136842838,blacklist_263
chr1,137710999,137716037,blacklist_264
chr1,137728099,137733139,blacklist_265
chr1,137986110,137991155,blacklist_266
chr1,139541479,139546506,blacklist_267
chr1,139652623,139653923,blacklist_268
chr1,140022872,140027945,blacklist_269
chr1,140148133,140148434,blacklist_270
chr1,140513707,140518761,blacklist_271
chr1,140972723,140974023,blacklist_272
chr1,142650224,142655297,blacklist_273
chr1,142729979,142730010,blacklist_274
chr1,142974899,142979936,blacklist_275
chr1,144224935,144225109,blacklist_276
chr1,144292037,144297080,blacklist_277
chr1,145971423,145976477,blacklist_278
chr1,146118552,146123598,blacklist_279
chr1,146282139,146287146,blacklist_280
chr1,147675171,147680230,blacklist_281
chr1,147767289,147772348,blacklist_282
chr1,149580080,149585138,blacklist_283
chr1,150268076,150273120,blacklist_284
chr1,150286289,150291347,blacklist_285
chr1,150340672,150345738,blacklist_286
chr1,150746655,150746831,blacklist_287
chr1,150917341,150922348,blacklist_288
chr1,151201670,151210370,blacklist_289
chr1,151572301,151577435,blacklist_290
chr1,151744691,151744945,blacklist_291
chr1,152096568,152096784,blacklist_292
chr1,152671123,152676138,blacklist_293
chr1,152760828,152765866,blacklist_294
chr1,153296940,153297186,blacklist_295
chr1,153411980,153420483,blacklist_296
chr1,153422187,153422753,blacklist_297
chr1,155100065,155105091,blacklist_298
chr1,155760364,155765418,blacklist_299
chr1,156030627,156035675,blacklist_300
chr1,156338829,156338967,blacklist_301
chr1,157596960,157602047,blacklist_302
chr1,157874777,157879857,blacklist_303
chr1,159970795,159970965,blacklist_304
chr1,162038046,162038181,blacklist_305
chr1,164191183,164196187,blacklist_306
chr1,167337776,167343005,blacklist_307
chr1,167668872,167673896,blacklist_308
chr1,170917426,170922429,blacklist_309
chr1,171054482,171059549,blacklist_310
chr1,171061270,171087849,blacklist_311
chr1,171511561,171521086,blacklist_312
chr1,171522486,171551461,blacklist_313
chr1,171551635,171571870,blacklist_314
chr1,171579542,171579890,blacklist_315
chr1,171713719,171713989,blacklist_316
chr1,172116034,172116262,blacklist_317
chr1,172662437,172667456,blacklist_318
chr1,173270019,173270220,blacklist_319
chr1,173679792,173679964,blacklist_320
chr1,173726630,173731636,blacklist_321
chr1,173804767,173805019,blacklist_322
chr1,173805114,173805348,blacklist_323
chr1,173847697,173848170,blacklist_324
chr1,173928569,173928894,blacklist_325
chr1,173949578,173950104,blacklist_326
chr1,173952101,173952645,blacklist_327
chr1,173955216,173955481,blacklist_328
chr1,173955781,173960863,blacklist_329
chr1,173961844,173962103,blacklist_330
chr1,174705451,174710472,blacklist_331
chr1,175887960,175892981,blacklist_332
chr1,177960499,177960858,blacklist_333
chr1,177984413,177984654,blacklist_334
chr1,177998958,177999233,blacklist_335
chr1,178379218,178384256,blacklist_336
chr1,178537193,178542251,blacklist_337
chr1,180118681,180123707,blacklist_338
chr1,180241130,180246271,blacklist_339
chr1,181110859,181115904,blacklist_340
chr1,181740518,181746330,blacklist_341
chr1,182627350,182632405,blacklist_342
chr1,183296633,183302093,blacklist_343
chr1,184398185,184403239,blacklist_344
chr1,184815571,184815757,blacklist_345
chr1,185038526,185043575,blacklist_346
chr1,185180771,185185808,blacklist_347
chr1,185214604,185214741,blacklist_348
chr1,185261401,185266502,blacklist_349
chr1,185646110,185651112,blacklist_350
chr1,186731187,186731449,blacklist_351
chr1,186758181,186763226,blacklist_352
chr1,189692909,189697936,blacklist_353
chr1,189980465,189980857,blacklist_354
chr1,190298033,190305818,blacklist_355
chr1,190900267,190905374,blacklist_356
chr1,191118436,191123533,blacklist_357
chr1,191350148,191355194,blacklist_358
chr1,191399373,191404395,blacklist_359
chr1,191451435,191451611,blacklist_360
chr1,191555451,191556016,blacklist_361
chr1,191577922,191582959,blacklist_362
chr1,191692337,191697371,blacklist_363
chr1,192451539,192456627,blacklist_364
chr1,193225314,193230422,blacklist_365
chr1,193630379,193635433,blacklist_366
chr1,194530872,194535941,blacklist_367
chr1,195238240,195244369,blacklist_368
chr1,195276725,195281785,blacklist_369
chr1,195369227,195369489,blacklist_370
chr10,3107541,3119199,blacklist_371
chr10,3237095,3237379,blacklist_372
chr10,3245340,3253840,blacklist_373
chr10,3316640,3317940,blacklist_374
chr10,3409840,3410940,blacklist_375
chr10,4614316,4614573,blacklist_376
chr10,4913240,4914340,blacklist_377
chr10,4978149,4978261,blacklist_378
chr10,6626840,6628040,blacklist_379
chr10,6741016,6741305,blacklist_380
chr10,7485576,7486114,blacklist_381
chr10,7902588,7903091,blacklist_382
chr10,8147602,8148702,blacklist_383
chr10,8264302,8265802,blacklist_384
chr10,8397402,8400102,blacklist_385
chr10,8548811,8548992,blacklist_386
chr10,8549402,8550502,blacklist_387
chr10,8604802,8606002,blacklist_388
chr10,10012402,10013602,blacklist_389
chr10,10079602,10081102,blacklist_390
chr10,10498731,10498991,blacklist_391
chr10,11352593,11352951,blacklist_392
chr10,11491202,11492301,blacklist_393
chr10,11609202,11610402,blacklist_394
chr10,11636002,11637202,blacklist_395
chr10,12390602,12392502,blacklist_396
chr10,12557696,12558021,blacklist_397
chr10,13401991,13402266,blacklist_398
chr10,14560194,14562094,blacklist_399
chr10,14664085,14664340,blacklist_400
chr10,15177069,15177294,blacklist_401
chr10,15532594,15533794,blacklist_402
chr10,15598594,15600594,blacklist_403
chr10,16945673,16945934,blacklist_404
chr10,16969994,16971594,blacklist_405
chr10,17139794,17143094,blacklist_406
chr10,17309980,17310274,blacklist_407
chr10,18452103,18452285,blacklist_408
chr10,19134850,19135058,blacklist_409
chr10,19427694,19428794,blacklist_410
chr10,19514476,19514855,blacklist_411
chr10,19514900,19515191,blacklist_412
chr10,19544094,19545894,blacklist_413
chr10,19782994,19784094,blacklist_414
chr10,19797494,19799394,blacklist_415
chr10,19914845,19914993,blacklist_416
chr10,20311894,20312994,blacklist_417
chr10,20459748,20459977,blacklist_418
chr10,21046142,21046403,blacklist_419
chr10,21729294,21730594,blacklist_420
chr10,22034615,22035356,blacklist_421
chr10,22035421,22035528,blacklist_422
chr10,22139934,22145472,blacklist_423
chr10,22157736,22158141,blacklist_424
chr10,22193394,22194694,blacklist_425
chr10,22200894,22227694,blacklist_426
chr10,22235194,22241594,blacklist_427
chr10,22258015,22258322,blacklist_428
chr10,22287238,22288179,blacklist_429
chr10,22371026,22371276,blacklist_430
chr10,22383294,22384594,blacklist_431
chr10,22392494,22394194,blacklist_432
chr10,22399794,22419994,blacklist_433
chr10,22430394,22431594,blacklist_434
chr10,22448252,22448546,blacklist_435
chr10,22470330,22471085,blacklist_436
chr10,22471288,22471598,blacklist_437
chr10,22574619,22574927,blacklist_438
chr10,22936294,22940294,blacklist_439
chr10,23459294,23462294,blacklist_440
chr10,23472394,23474294,blacklist_441
chr10,23988591,23988702,blacklist_442
chr10,24855594,24859094,blacklist_443
chr10,25969194,25971094,blacklist_444
chr10,26642294,26644194,blacklist_445
chr10,26929594,26930794,blacklist_446
chr10,28910994,28912094,blacklist_447
chr10,29768094,29769394,blacklist_448
chr10,29960894,29962794,blacklist_449
chr10,29970094,29971894,blacklist_450
chr10,31407994,31411394,blacklist_451
chr10,33808694,33809694,blacklist_452
chr10,36130194,36131794,blacklist_453
chr10,36372755,36373046,blacklist_454
chr10,36918035,36918181,blacklist_455
chr10,36945694,36947894,blacklist_456
chr10,37819494,37821394,blacklist_457
chr10,38639194,38642094,blacklist_458
chr10,38643064,38643240,blacklist_459
chr10,38763894,38765094,blacklist_460
chr10,38771694,38773294,blacklist_461
chr10,40257794,40259594,blacklist_462
chr10,41192294,41194994,blacklist_463
chr10,42137304,42137711,blacklist_464
chr10,42375494,42377394,blacklist_465
chr10,42401694,42402794,blacklist_466
chr10,43430424,43430541,blacklist_467
chr10,43770794,43772694,blacklist_468
chr10,43836174,43836398,blacklist_469
chr10,43981092,43981374,blacklist_470
chr10,44211133,44211404,blacklist_471
chr10,44211628,44211887,blacklist_472
chr10,44228504,44228780,blacklist_473
chr10,44232028,44232511,blacklist_474
chr10,44236494,44237594,blacklist_475
chr10,44590797,44591080,blacklist_476
chr10,45555394,45556594,blacklist_477
chr10,46971894,46972994,blacklist_478
chr10,47328294,47329394,blacklist_479
chr10,47441194,47443094,blacklist_480
chr10,47563141,47563269,blacklist_481
chr10,47743594,47744894,blacklist_482
chr10,49397294,49398394,blacklist_483
chr10,50029194,50032394,blacklist_484
chr10,50113694,50115494,blacklist_485
chr10,50178494,50184594,blacklist_486
chr10,50333694,50334794,blacklist_487
chr10,50552494,50553694,blacklist_488
chr10,50676694,50678594,blacklist_489
chr10,51039594,51040994,blacklist_490
chr10,52056394,52057794,blacklist_491
chr10,52144375,52144608,blacklist_492
chr10,52527494,52530594,blacklist_493
chr10,52765694,52766894,blacklist_494
chr10,53669094,53670894,blacklist_495
chr10,55501594,55503194,blacklist_496
chr10,55748294,55750194,blacklist_497
chr10,55896094,55897894,blacklist_498
chr10,56250494,56252094,blacklist_499
chr10,56895894,56896994,blacklist_500
chr10,57140294,57142194,blacklist_501
chr10,57239194,57245394,blacklist_502
chr10,57434925,57435254,blacklist_503
chr10,57437684,57438568,blacklist_504
chr10,57441072,57441526,blacklist_505
chr10,57445089,57445487,blacklist_506
chr10,57683594,57684794,blacklist_507
chr10,58219377,58241417,blacklist_508
chr10,59294752,59296852,blacklist_509
chr10,59950852,59952752,blacklist_510
chr10,60002452,60003752,blacklist_511
chr10,61373942,61374204,blacklist_512
chr10,62610352,62612152,blacklist_513
chr10,63513552,63515452,blacklist_514
chr10,65366202,65366441,blacklist_515
chr10,65901852,65903252,blacklist_516
chr10,66559777,66559961,blacklist_517
chr10,70222268,70222447,blacklist_518
chr10,70664652,70665752,blacklist_519
chr10,71423207,71423321,blacklist_520
chr10,71854252,71855452,blacklist_521
chr10,72293320,72293538,blacklist_522
chr10,72297104,72297437,blacklist_523
chr10,72693252,72694752,blacklist_524
chr10,72973580,72973821,blacklist_525
chr10,73292352,73293552,blacklist_526
chr10,73379098,73379310,blacklist_527
chr10,74434155,74436055,blacklist_528
chr10,74741455,74743355,blacklist_529
chr10,75160090,75160263,blacklist_530
chr10,75920955,75922055,blacklist_531
chr10,76442155,76443255,blacklist_532
chr10,76850855,76852155,blacklist_533
chr10,77258555,77259955,blacklist_534
chr10,77553604,77553833,blacklist_535
chr10,77581055,77582355,blacklist_536
chr10,78023955,78025555,blacklist_537
chr10,78412155,78413755,blacklist_538
chr10,78414937,78415157,blacklist_539
chr10,78731955,78733155,blacklist_540
chr10,79082155,79083755,blacklist_541
chr10,79314255,79322355,blacklist_542
chr10,79853455,79855255,blacklist_543
chr10,80107085,80107346,blacklist_544
chr10,80159255,80166055,blacklist_545
chr10,80248455,80249955,blacklist_546
chr10,80398855,80400555,blacklist_547
chr10,80621555,80623355,blacklist_548
chr10,80676155,80677355,blacklist_549
chr10,80701655,80703055,blacklist_550
chr10,80797855,80799255,blacklist_551
chr10,80899955,80901455,blacklist_552
chr10,81176593,81183655,blacklist_553
chr10,81320255,81321355,blacklist_554
chr10,81383655,81384755,blacklist_555
chr10,81704755,81705855,blacklist_556
chr10,81910155,81911655,blacklist_557
chr10,82571455,82572555,blacklist_558
chr10,82940055,82941955,blacklist_559
chr10,82955181,82955463,blacklist_560
chr10,83308994,83309264,blacklist_561
chr10,83699380,83699668,blacklist_562
chr10,84912093,84912302,blacklist_563
chr10,85025931,85026152,blacklist_564
chr10,85026113,85026339,chrM_5
chr10,85026188,85026219,blacklist_565
chr10,85769255,85770855,blacklist_566
chr10,86561955,86563855,blacklist_567
chr10,86595955,86597255,blacklist_568
chr10,86705055,86706655,blacklist_569
chr10,87067955,87069855,blacklist_570
chr10,87177655,87179555,blacklist_571
chr10,87633655,87635155,blacklist_572
chr10,87680249,87680525,blacklist_573
chr10,88651096,88651217,blacklist_574
chr10,88657816,88658048,blacklist_575
chr10,88781960,88782126,blacklist_576
chr10,89959755,89961655,blacklist_577
chr10,91181255,91182555,blacklist_578
chr10,91253855,91255155,blacklist_579
chr10,91930255,91931355,blacklist_580
chr10,92913955,92915455,blacklist_581
chr10,93452855,93454155,blacklist_582
chr10,93484418,93484765,blacklist_583
chr10,93498138,93498379,blacklist_584
chr10,94592321,94592617,blacklist_585
chr10,94743786,94744030,blacklist_586
chr10,94872043,94872354,blacklist_587
chr10,96076566,96078666,blacklist_588
chr10,96077525,96077895,chrM_6
chr10,96193466,96197666,blacklist_589
chr10,96510766,96512166,blacklist_590
chr10,97320866,97322766,blacklist_591
chr10,97531166,97532466,blacklist_592
chr10,98042173,98042363,blacklist_593
chr10,98050466,98051966,blacklist_594
chr10,99100166,99101666,blacklist_595
chr10,100298922,100299089,blacklist_596
chr10,100325094,100325323,blacklist_597
chr10,100326221,100326579,blacklist_598
chr10,100345939,100346334,blacklist_599
chr10,100357005,100357284,blacklist_600
chr10,100361323,100361609,blacklist_601
chr10,100370018,100370393,blacklist_602
chr10,100371065,100371304,blacklist_603
chr10,100371712,100372643,blacklist_604
chr10,100372946,100378277,blacklist_605
chr10,100378414,100378469,blacklist_606
chr10,100379426,100383742,blacklist_607
chr10,100580466,100581766,blacklist_608
chr10,100676066,100678666,blacklist_609
chr10,101448466,101449966,blacklist_610
chr10,102668520,102668801,blacklist_611
chr10,103517966,103519066,blacklist_612
chr10,103570566,103571966,blacklist_613
chr10,103656066,103658066,blacklist_614
chr10,104073873,104075173,blacklist_615
chr10,104165118,104197946,blacklist_616
chr10,104198247,104198416,blacklist_617
chr10,104765144,104766344,blacklist_618
chr10,105971258,105971391,blacklist_619
chr10,106387078,106387252,blacklist_620
chr10,106401344,106402944,blacklist_621
chr10,106428042,106428146,blacklist_622
chr10,106673427,106673719,blacklist_623
chr10,107557144,107558244,blacklist_624
chr10,108095544,108096744,blacklist_625
chr10,109213344,109215144,blacklist_626
chr10,109216114,109216340,blacklist_627
chr10,110225744,110227144,blacklist_628
chr10,110685444,110687344,blacklist_629
chr10,110847044,110848944,blacklist_630
chr10,110959214,110959485,blacklist_631
chr10,111496030,111496651,blacklist_632
chr10,112015844,112021644,blacklist_633
chr10,112592144,112593544,blacklist_634
chr10,112602844,112604244,blacklist_635
chr10,112720744,112722044,blacklist_636
chr10,113728544,113729744,blacklist_637
chr10,114171705,114171951,blacklist_638
chr10,114737272,114737567,blacklist_639
chr10,114861144,114863044,blacklist_640
chr10,115327860,115328024,blacklist_641
chr10,116028844,116030444,blacklist_642
chr10,117411386,117411621,blacklist_643
chr10,118058253,118059344,blacklist_644
chr10,118243650,118243833,blacklist_645
chr10,118246174,118246419,blacklist_646
chr10,118252422,118252701,blacklist_647
chr10,118253044,118254944,blacklist_648
chr10,118910544,118912144,blacklist_649
chr10,120601844,120602944,blacklist_650
chr10,121763138,121763290,blacklist_651
chr10,122156844,122157944,blacklist_652
chr10,122633544,122634844,blacklist_653
chr10,123426267,123426487,blacklist_654
chr10,123909782,123910016,blacklist_655
chr10,126894762,126894923,blacklist_656
chr10,128441759,128442075,blacklist_657
chr10,128547144,128548644,blacklist_658
chr10,128565344,128566544,blacklist_659
chr10,129447044,129448644,blacklist_660
chr10,129514458,129514743,blacklist_661
chr10,129735360,129735638,blacklist_662
chr10,130051644,130052744,blacklist_663
chr10,130195244,130196744,blacklist_664
chr10,130218744,130220244,blacklist_665
chr10,130463644,130464744,blacklist_666
chr10,130592454,130592493,blacklist_667
chr10,130594371,130594651,blacklist_668
chr11,3099976,3106299,blacklist_669
chr11,3112197,3113297,blacklist_670
chr11,3114482,3114741,blacklist_671
chr11,3115314,3115677,blacklist_672
chr11,3120263,3120529,blacklist_673
chr11,3122130,3122400,blacklist_674
chr11,3122597,3201851,blacklist_675
chr11,3576723,3577070,blacklist_676
chr11,3577193,3577516,blacklist_677
chr11,3734954,3735069,blacklist_678
chr11,4072540,4072792,blacklist_679
chr11,4572697,4574097,blacklist_680
chr11,4597863,4598148,blacklist_681
chr11,4665407,4665677,blacklist_682
chr11,4867435,4867719,blacklist_683
chr11,5168339,5170429,blacklist_684
chr11,5548633,5548758,blacklist_685
chr11,5551243,5551500,blacklist_686
chr11,5554797,5556597,blacklist_687
chr11,5632893,5633096,blacklist_688
chr11,5905802,5906116,blacklist_689
chr11,6007695,6007954,blacklist_690
chr11,6011290,6011565,blacklist_691
chr11,6457311,6457530,blacklist_692
chr11,6564678,6564889,blacklist_693
chr11,7850834,7851129,blacklist_694
chr11,8270797,8273097,blacklist_695
chr11,8325047,8325317,blacklist_696
chr11,12374934,12375340,blacklist_697
chr11,12567597,12568897,blacklist_698
chr11,13352003,13352253,blacklist_699
chr11,13510151,13510341,blacklist_700
chr11,13946778,13947006,blacklist_701
chr11,15282997,15284297,blacklist_702
chr11,15808011,15808164,blacklist_703
chr11,16388297,16389497,blacklist_704
chr11,18331599,18332455,blacklist_705
chr11,19999970,20000149,blacklist_706
chr11,20378954,20379251,blacklist_707
chr11,22227068,22227206,blacklist_708
chr11,27176500,27179200,blacklist_709
chr11,27440414,27440657,blacklist_710
chr11,28938162,28938366,blacklist_711
chr11,29543082,29543298,blacklist_712
chr11,30933380,30933544,blacklist_713
chr11,31167235,31167491,blacklist_714
chr11,31922602,31922872,blacklist_715
chr11,32283200,32284600,blacklist_716
chr11,32295700,32297000,blacklist_717
chr11,33754000,33755800,blacklist_718
chr11,34544431,34544639,blacklist_719
chr11,34544719,34544980,blacklist_720
chr11,34681653,34682202,blacklist_721
chr11,34729038,34729306,blacklist_722
chr11,38226957,38227208,blacklist_723
chr11,38484998,38486098,blacklist_724
chr11,39022407,39022589,blacklist_725
chr11,40735129,40735266,blacklist_726
chr11,40825201,40825447,blacklist_727
chr11,41013158,41013455,blacklist_728
chr11,41102198,41103598,blacklist_729
chr11,41632508,41632793,blacklist_730
